UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
Leeds North East,*,TJR Kirkhope,Conservative,22462,45.38%,64607,4244,76.62%,Conservative Hold
,,F Hamilton,Labour,18218,36.80%,,,,
,,CR Walmsley,Liberal Democrat,8274,16.72%,,,,
,,J Noble,Green,546,1.10%,,,,
,,,,,,,,,
Leeds North West,*,Dr. K Hampson,Conservative,21750,43.02%,69733,7671,72.50%,Conservative Hold
,,Mrs BA Pearce,Liberal Democrat,14079,27.85%,,,,
,,Miss S Egan,Labour,13782,27.26%,,,,
,,DC Webb,Green,519,1.03%,,,,
,,NAB Nowosielski,Liberal,427,0.84%,,,,
,,,,,,,,,
Leeds South and Morley,,WJ Gunnell,Labour,23896,52.16%,63155,7372,72.53%,Labour Hold
,,GR Booth,Conservative,16524,36.07%,,,,
,,Mrs JM Walmsley,Liberal Democrat,5062,11.05%,,,,
,,RD Thurston,Natural Law,327,0.71%,,,,
,,,,,,,,,
Leeds West,*,JD Battle,Labour,26310,55.13%,67074,13828,71.15%,Labour Hold
,,P Bartlett,Conservative,12482,26.15%,,,,
,,Viscount Morpeth (GWB Howard),Liberal Democrat,4252,8.91%,,,,
,,MJ Meadowcroft,Liberal,3980,8.34%,,,,
,,Miss AM Mander,Green,569,1.19%,,,,
,,RI Tenney,National Front,132,0.28%,,,,
,,,,,,,,,
Leicester East,*,NKAS Vaz,Labour,28123,56.34%,63435,11316,78.69%,Labour Hold
,,JC Stevens,Conservative,16807,33.67%,,,,
,,Mrs SA Mitchell,Liberal Democrat,4043,8.10%,,,,
,,MR Frankland,Green,453,0.91%,,,,
,,DJ Taylor,Independent,308,0.62%,,,,
,,Miss ASK Mahaldar,Natural Law,186,0.37%,,,,
,,,,,,,,,
Leicester South,*,J Marshall,Labour,27934,52.30%,71120,9440,75.09%,Labour Hold
,,MK Dutt,Conservative,18494,34.63%,,,,
,,Mrs A Crumbie,Liberal Democrat,6271,11.74%,,,,
,,J McWhirter,Green,554,1.04%,,,,
,,Mrs PA Saunders,Natural Law,154,0.29%,,,,
,,,,,,,,,
Leicester West,*,GE Janner,Labour,22574,46.78%,65511,3978,73.67%,Labour Hold
,,JA Guthrie,Conservative,18596,38.53%,,,,
,,GF Walker,Liberal Democrat,6402,13.27%,,,,
,,Miss CD Wintram,Green,517,1.07%,,,,
,,Mrs JM Rosta,Natural Law,171,0.35%,,,,
,,,,,,,,,
Leicestershire North West,*,DG Ashby,Conservative,28379,45.51%,72419,979,86.11%,Conservative Hold
,,DL Taylor,Labour,27400,43.94%,,,,
,,JWR Beckett,Liberal Democrat,6353,10.19%,,,,
,,DJ Fawcett,Natural Law,229,0.37%,,,,
,,,,,,,,,
Leigh,*,LF Cunliffe,Labour,32225,61.31%,70065,18827,75.02%,Labour Hold
,,JRS Egerton,Conservative,13398,25.49%,,,,
,,RM Bleakley,Liberal Democrat,6621,12.60%,,,,
,,AP Tayler,Natural Law,320,0.61%,,,,
,,,,,,,,,
Leominster,*,P Temple-Morris,Conservative,32783,56.62%,70874,16680,81.70%,Conservative Hold
,,DC Short,Liberal Democrat,16103,27.81%,,,,
,,ACR Chappell,Labour,6874,11.87%,,,,
,,Mrs FM Norman,Green,1503,2.60%,,,,
,,EP Carlisle,Anti-Federalist League,640,1.11%,,,,
,,,,,,,,,
Lewes,*,JR Rathbone,Conservative,33042,54.64%,73918,12175,81.81%,Conservative Hold
,,NJ Baker,Liberal Democrat,20867,34.51%,,,,
,,Ms. AE Chapman,Labour,5758,9.52%,,,,
,,AE Beaumont,Green,719,1.19%,,,,
,,NF Clinch,Natural Law,87,0.14%,,,,
,,,,,,,,,
Lewisham Deptford,*,Mrs JM Ruddock,Labour,22574,60.86%,57062,12238,65.00%,Labour Hold
,,Miss TAJ O'Neill,Conservative,10336,27.87%,,,,
,,Mrs JC Brightwell,Liberal Democrat,4181,11.27%,,,,
,,,,,,,,,
Lewisham East,,Mrs BT Prentice,Labour,19576,45.39%,57725,1095,74.72%,Labour Gain
,*,CB Moynihan,Conservative,18481,42.85%,,,,
,,JA Hawkins,Liberal Democrat,4877,11.31%,,,,
,,Mrs GE Mansour,Natural Law,196,0.45%,,,,
,,,,,,,,,
Lewisham West,,JP Dowd,Labour,20378,46.99%,59372,1809,73.04%,Labour Gain
,*,JC Maples,Conservative,18569,42.82%,,,,
,,Mrs E Neale,Liberal Democrat,4295,9.90%,,,,
,,P Coulam,Anti-Federalist League,125,0.29%,,,,
,,,,,,,,,
Leyton,*,HM Cohen,Labour,20334,52.64%,57272,11452,67.44%,Labour Hold
,,Miss C Smith,Conservative,8882,23.00%,,,,
,,JH Fryer,Liberal Democrat,8180,21.18%,,,,
,,LA De Pinna,Liberal,561,1.45%,,,,
,,K Pervez,Green,412,1.07%,,,,
,,R Archer,Natural Law,256,0.66%,,,,
,,,,,,,,,
Lincoln,*,KM Carlisle,Conservative,28792,46.10%,78944,2049,79.11%,Conservative Hold
,,NJ Butler,Labour,26743,42.82%,,,,
,,D Harding-Price,Liberal Democrat,6316,10.11%,,,,
,,Mrs SE Wiggin,Liberal,603,0.97%,,,,
,,,,,,,,,
Lindsey East,*,Sir PHB Tapsell,Conservative,31916,51.08%,80027,11846,78.07%,Conservative Hold
,,JL Dodsworth,Liberal Democrat,20070,32.12%,,,,
,,DG Shepherd,Labour,9477,15.17%,,,,
,,Ms. RE Robinson,Green,1018,1.63%,,,,
,,,,,,,,,
Linlithgow,*,Sir T Dalyell,Labour,21603,44.96%,61082,7026,78.66%,Labour Hold
,,KW MacAskill,Scottish National,14577,30.34%,,,,
,,Miss EA Forbes,Conservative,8424,17.53%,,,,
,,MG Falchikov,Liberal Democrat,3446,7.17%,,,,
,,,,,,,,,
Littleborough and Saddleworth,*,GK Dickens,Conservative,23682,44.25%,65577,4494,81.61%,Conservative Hold
,,CG Davies,Liberal Democrat,19188,35.85%,,,,
,,AJ Brett,Labour,10649,19.90%,,,,
,,,,,,,,,
Liverpool Broadgreen,,Mrs JE Kennedy,Labour,18062,43.20%,60080,7027,69.60%,Labour Hold
,,Miss RE Cooper,Liberal Democrat,11035,26.39%,,,,
,*,T Fields,Independent Labour,5952,14.23%,,,,
,,Mrs HL Roche,Conservative,5405,12.93%,,,,
,,SR Radford,Liberal,1211,2.90%,,,,
,,Mrs A Brennan,Natural Law,149,0.36%,,,,
,,,,,,,,,
Liverpool Garston,*,E Loyden,Labour,23212,57.14%,57539,12279,70.60%,Labour Hold
,,JE Backhouse,Conservative,10933,26.91%,,,,
,,CW Roberts,Liberal Democrat,5398,13.29%,,,,
,,WGA Conrad,Liberal,894,2.20%,,,,
,,PJ Chandler,Natural Law,187,0.46%,,,,
,,,,,,,,,
Liverpool Mossley Hill,*,DPP Alton,Liberal Democrat,19809,47.85%,60409,2606,68.52%,Liberal Democrat Gain
,,NS Bann,Labour,17203,41.56%,,,,
,,SA Syder,Conservative,4269,10.31%,,,,
,,BP Rigby,Natural Law,114,0.28%,,,,
,,,,,,,,,
Liverpool Riverside,*,R Parry,Labour,20550,75.92%,49595,17437,54.58%,Labour Hold
,,A Zsigmond,Conservative,3113,11.50%,,,,
,,MA Ali,Liberal Democrat,2498,9.23%,,,,
,,L Brown,Green,738,2.73%,,,,
,,JD Collins,Natural Law,169,0.62%,,,,
,,,,,,,,,
Liverpool Walton,*,P Kilfoyle,Labour,34214,72.40%,70118,28299,67.39%,Labour Hold
,,BJR Greenwood,Conservative,5915,12.52%,,,,
,,J Lang,Liberal Democrat,5672,12.00%,,,,
,,TS Newall,Liberal,963,2.04%,,,,
,,DJE Carson,Independent,393,0.83%,,,,
,,Mrs DJ Raiano,Natural Law,98,0.21%,,,,
,,,,,,,,,
Liverpool West Derby,*,RN Wareing,Labour,27014,68.19%,56724,20425,69.84%,Labour Hold
,,S Fitzsimmons,Conservative,6589,16.63%,,,,
,,Miss GS Bundred,Liberal Democrat,4838,12.21%,,,,
,,D Curtis,Liberal,1021,2.58%,,,,
,,CJ Higgins,Natural Law,154,0.39%,,,,
,,,,,,,,,
Livingston,*,RF Cook,Labour,20245,44.41%,61093,8105,74.62%,Labour Hold
,,PJB Johnston,Scottish National,12140,26.63%,,,,
,,JHH Gordon,Conservative,8824,19.36%,,,,
,,HFD Mackintosh,Liberal Democrat,3911,8.58%,,,,
,,AG Ross-Smith,Green,469,1.03%,,,,
,,,,,,,,,
Llanelli,*,DJD Davies,Labour,27802,54.93%,65057,19270,77.80%,Labour Hold
,,GL Down,Conservative,8532,16.86%,,,,
,,DM Phillips,Plaid Cymru,7878,15.56%,,,,
,,KJ Evans,Liberal Democrat,6404,12.65%,,,,
,,,,,,,,,
Londonderry East,*,W Ross,Ulster Unionist,30370,57.59%,75587,18527,69.77%,Ulster Unionist Hold
,,A Doherty,Social Democratic and Labour,11843,22.46%,,,,
,,Mrs P Davey-Kennedy,Sinn Féin,5320,10.09%,,,,
,,PJ McGowan,Alliance,3613,6.85%,,,,
,,AE Elder,Conservative,1589,3.01%,,,,
,,,,,,,,,
Loughborough,*,SJ Dorrell,Conservative,30064,50.74%,75451,10883,78.53%,Conservative Hold
,,AJ Reed,Labour,19181,32.37%,,,,
,,AW Stott,Liberal Democrat,8953,15.11%,,,,
,,I Sinclair,Green,817,1.38%,,,,
,,P Reynolds,Natural Law,233,0.39%,,,,
,,,,,,,,,
Ludlow,*,CJF Gill,Conservative,28719,51.51%,68937,14152,80.88%,Conservative Hold
,,ID Phillips,Liberal Democrat,14567,26.13%,,,,
,,Mrs BO Mason,Labour,11709,21.00%,,,,
,,NH Appleton-Fox,Green,758,1.36%,,,,
,,,,,,,,,
Luton North,*,JR Carlisle,Conservative,33777,53.65%,76940,13094,81.82%,Conservative Hold
,,A McWalter,Labour,20683,32.85%,,,,
,,Dr. Jane Jackson,Liberal Democrat,7570,12.02%,,,,
,,RP Jones,Green,633,1.01%,,,,
,,KM Buscombe,Natural Law,292,0.46%,,,,
,,,,,,,,,
Luton South,*,GFJ Bright,Conservative,25900,44.84%,73016,799,79.11%,Conservative Hold
,,WD McKenzie,Labour,25101,43.46%,,,,
,,DW Rogers,Liberal Democrat,6020,10.42%,,,,
,,Miss L Bliss,Green,550,0.95%,,,,
,,DRH Cooke,Natural Law,191,0.33%,,,,
,,,,,,,,,
Macclesfield,*,NR Winterton,Conservative,36447,57.86%,76549,22767,82.29%,Conservative Hold
,,Ms. MC Longworth,Labour,13680,21.72%,,,,
,,Dr. PCW Beatty,Liberal Democrat,12600,20.00%,,,,
,,Mrs CA Penn,Natural Law,268,0.43%,,,,
,,,,,,,,,
Maidstone,*,Miss AN Widdecombe,Conservative,31611,54.19%,72862,16286,80.06%,Conservative Hold
,,Mrs PG Yates,Liberal Democrat,15325,26.27%,,,,
,,Mrs AFH Logan,Labour,10517,18.03%,,,,
,,Mrs PA Kemp,Green,707,1.21%,,,,
,,FJ Ingram,Natural Law,172,0.29%,,,,
,,,,,,,,,
Makerfield,*,I McCartney,Labour,32832,60.41%,71426,18118,76.09%,Labour Hold
,,Mrs DM Dickson,Conservative,14714,27.07%,,,,
,,ST Jeffers,Liberal Democrat,5097,9.38%,,,,
,,Ms. S Cairns,Liberal,1309,2.41%,,,,
,,CD Davies,Natural Law,397,0.73%,,,,
,,,,,,,,,
Manchester Blackley,*,K Eastham,Labour,23031,60.16%,55235,12389,69.31%,Labour Hold
,,WS Hobhouse,Conservative,10642,27.80%,,,,
,,SD Wheale,Liberal Democrat,4324,11.29%,,,,
,,MP Kennedy,Natural Law,288,0.75%,,,,
,,,,,,,,,
Manchester Central,*,RK Litherland,Labour,23336,72.65%,56447,18037,56.90%,Labour Hold
,,PW Davies,Conservative,5299,16.50%,,,,
,,RM Clayton,Liberal Democrat,3151,9.81%,,,,
,,AN Buchanan,Communist League,167,0.52%,,,,
,,Mrs VC Mitchell,Natural Law,167,0.52%,,,,
,,,,,,,,,
Manchester Gorton,*,GB Kaufman,Labour,23671,62.33%,62410,16279,60.85%,Labour Hold
,,JD Bullock,Conservative,7392,19.47%,,,,
,,CP Harris,Liberal Democrat,5327,14.03%,,,,
,,T Henderson,Liberal,767,2.02%,,,,
,,MJ Daw,Green,595,1.57%,,,,
,,Miss P Lawrence,Revolutionary Communist,108,0.28%,,,,
,,PD Mitchell,Natural Law,84,0.22%,,,,
,,Mrs CE Smith,International Communist,30,0.08%,,,,
,,,,,,,,,
Manchester Withington,*,KJC Bradley,Labour,23962,52.66%,63838,9735,71.27%,Labour Hold
,,EN Farthing,Conservative,14227,31.27%,,,,
,,PG Hennell,Liberal Democrat,6457,14.19%,,,,
,,BA Candeland,Green,725,1.59%,,,,
,,CE Menhinick,Natural Law,128,0.28%,,,,
,,,,,,,,,
Manchester Wythenshawe,*,A Morris,Labour/Co-operative,22591,60.54%,53549,11996,69.68%,Labour/Co-operative Hold
,,KA McKenna,Conservative,10595,28.39%,,,,
,,SJ Fenn,Liberal Democrat,3633,9.74%,,,,
,,GN Otten,Green,362,0.97%,,,,
,,Mrs E Martin,Natural Law,133,0.36%,,,,
,,,,,,,,,
Mansfield,*,JA Meale,Labour,29932,54.36%,66965,11724,82.23%,Labour Hold
,,GS Mond,Conservative,18208,33.07%,,,,
,,SR Thompstone,Liberal Democrat,6925,12.58%,,,,
,,,,,,,,,
Medway,*,Dame PE Fenner,Conservative,25924,52.34%,61737,8786,80.22%,Conservative Hold
,,RG Marshall-Andrews,Labour,17138,34.60%,,,,
,,CL Trice,Liberal Democrat,4751,9.59%,,,,
,,M Austin,Liberal,1480,2.99%,,,,
,,PA Kember,Natural Law,234,0.47%,,,,
,,,,,,,,,
Meirionnydd Nant Conwy,,E Llwyd,Plaid Cymru,11608,43.95%,32413,4613,81.48%,Plaid Cymru Hold
,,GS Lewis,Conservative,6995,26.49%,,,,
,,DR Williams,Labour,4978,18.85%,,,,
,,Mrs RE Parry,Liberal Democrat,2358,8.93%,,,,
,,WA Pritchard,Green,471,1.78%,,,,
,,,,,,,,,
Meriden,*,IC Mills,Conservative,33462,55.11%,77009,14699,78.84%,Conservative Hold
,,NJ Stephens,Labour,18763,30.90%,,,,
,,Mrs JA Morris,Liberal Democrat,8489,13.98%,,,,
,,,,,,,,,
Merthyr Tydfil and Rhymney,*,E Rowlands,Labour,31710,71.56%,58430,26713,75.84%,Labour Hold
,,RPJ Rowland,Liberal Democrat,4997,11.28%,,,,
,,MJ Hughes,Conservative,4904,11.07%,,,,
,,AG Cox,Plaid Cymru,2704,6.10%,,,,
,,,,,,,,,
Middlesbrough,*,S Bell,Labour,26343,64.09%,58852,15784,69.84%,Labour Hold
,,PR Rayner,Conservative,10559,25.69%,,,,
,,Mrs R Jordan,Liberal Democrat,4201,10.22%,,,,
,,,,,,,,,
Midlothian,,EL Clarke,Labour,20588,43.87%,60311,10334,77.81%,Labour Hold
,,A Lumsden,Scottish National,10254,21.85%,,,,
,,WJ Stoddart,Conservative,9443,20.12%,,,,
,,PL Sewell,Liberal Democrat,6164,13.14%,,,,
,,ID Morrice,Green,476,1.01%,,,,
,,,,,,,,,
Milton Keynes North East,,P Butler,Conservative,26212,51.60%,63545,14176,79.94%,Conservative Gain
,,Mrs MI Cosin,Labour,12036,23.69%,,,,
,,PK Gaskell,Liberal Democrat,11693,23.02%,,,,
,,AH Francis,Green,529,1.04%,,,,
,,Mrs MTMP Kavanagh-Dowsett,Independent Conservative,249,0.49%,,,,
,,MJH Simson,Natural Law,79,0.16%,,,,
,,,,,,,,,
Milton Keynes South West,,BC Legg,Conservative,23840,46.61%,67365,4687,75.93%,Conservative Gain
,,KJ Wilson,Labour,19153,37.45%,,,,
,,C Pym,Liberal Democrat,7429,14.52%,,,,
,,Ms. Caroline Field,Green,525,1.03%,,,,
,,WH Kelly,Natural Law,202,0.39%,,,,
,,,,,,,,,
Mitcham and Morden,*,ACR Rumbold,Conservative,23789,46.48%,63752,1734,80.29%,Conservative Hold
,,Miss SA McDonagh,Labour,22055,43.09%,,,,
,,JC Field,Liberal Democrat,4687,9.16%,,,,
,,TJ Walsh,Green,655,1.28%,,,,
,,,,,,,,,
Mole Valley,*,KW Baker,Conservative,32549,59.31%,66963,15950,81.96%,Conservative Hold
,,MD Watson,Liberal Democrat,16599,30.25%,,,,
,,TJ Walsh,Labour,5291,9.64%,,,,
,,Ms. JM Thomas,Natural Law,442,0.81%,,,,
,,,,,,,,,
Monklands East,,J Smith,Labour,22266,61.29%,48430,15712,75.01%,Labour Hold
,,J Wright,Scottish National,6554,18.04%,,,,
,,S Walters,Conservative,5830,16.05%,,,,
,,Dr. PW Ross,Liberal Democrat,1679,4.62%,,,,
,,,,,,,,,
Monklands West,,T Clarke,Labour,23384,61.28%,49300,17065,77.40%,Labour Hold
,,K Bovey,Scottish National,6319,16.56%,,,,
,,AJH Lownie,Conservative,6074,15.92%,,,,
,,Ms. S Hamilton,Liberal Democrat,2382,6.24%,,,,
,,,,,,,,,
Monmouth,,RK Evans,Conservative,24059,47.26%,59148,3204,86.07%,Conservative Hold
,*,HWE Edwards,Labour,20855,40.97%,,,,
,,Mrs FA David,Liberal Democrat,5562,10.93%,,,,
,,MJ Witherden,Plaid Cymru/Green,431,0.85%,,,,
,,,,,,,,,
Montgomery,*,AC Carlile,Liberal Democrat,16031,48.50%,41386,5209,79.87%,Liberal Democrat Gain
,,Mrs J France-Hayhurst,Conservative,10822,32.74%,,,,
,,SJ Wood,Labour,4115,12.45%,,,,
,,HN Parsons,Plaid Cymru,1581,4.78%,,,,
,,PHW Adams,Green,508,1.54%,,,,
,,,,,,,,,
Moray,*,Mrs MA Ewing,Scottish National,20299,44.29%,62605,2844,73.21%,Scottish National Hold
,,Mrs RL Hossack,Conservative,17455,38.08%,,,,
,,CRC Smith,Labour,5448,11.89%,,,,
,,JB Sheridan,Liberal Democrat,2634,5.75%,,,,
,,,,,,,,,
Morecambe and Lunesdale,*,MA Lennox-Boyd,Conservative,22507,50.91%,56432,11509,78.34%,Conservative Hold
,,Mrs JE Yates,Labour,10998,24.88%,,,,
,,AJ Saville,Liberal Democrat,9584,21.68%,,,,
,,MA Turner,Independent,916,2.07%,,,,
,,RM Marriott,Natural Law,205,0.46%,,,,
,,,,,,,,,
Motherwell North,*,Dr. J Reid,Labour,27852,63.37%,57140,18910,76.92%,Labour Hold
,,DA Clark,Scottish National,8942,20.35%,,,,
,,R Hargrave,Conservative,5011,11.40%,,,,
,,Ms. HD Smith,Liberal Democrat,2145,4.88%,,,,
,,,,,,,,,
Motherwell South,*,Dr. JW Bray,Labour,21771,57.11%,50086,14013,76.11%,Labour Hold
,,Mrs KM Ullrich,Scottish National,7758,20.35%,,,,
,,WG McIntosh,Conservative,6097,15.99%,,,,
,,AG Mackie,Liberal Democrat,2349,6.16%,,,,
,,DJ Lettice,Independent Socialist,146,0.38%,,,,
,,,,,,,,,
Neath,*,PG Hain,Labour,30903,68.00%,56355,23975,80.64%,Labour Hold
,,DR Adams,Conservative,6928,15.25%,,,,
,,DR Evans,Plaid Cymru,5145,11.32%,,,,
,,Rev. M Phillips,Liberal Democrat,2467,5.43%,,,,
,,,,,,,,,
New Forest,*,Sir PMED McNair-Wilson,Conservative,37986,62.37%,75413,20405,80.76%,Conservative Hold
,,Mrs JK Vernon-Jackson,Liberal Democrat,17581,28.87%,,,,
,,MJ Shutler,Labour,4989,8.19%,,,,
,,Ms. FA Carter,Natural Law,350,0.57%,,,,
,,,,,,,,,
Newark,*,RT Alexander,Conservative,28494,50.40%,68802,8229,82.17%,Conservative Hold
,,DH Barton,Labour,20265,35.84%,,,,
,,PRB Harris,Liberal Democrat,7342,12.99%,,,,
,,Ms. PA Wood,Green,435,0.77%,,,,
,,,,,,,,,
Newbury,,Mrs SJ Chaplin,Conservative,37135,55.91%,80254,12357,82.75%,Conservative Hold
,,DD Rendel,Liberal Democrat,24778,37.31%,,,,
,,RJE Hall,Labour,3962,5.97%,,,,
,,JP Wallis,Green,539,0.81%,,,,
,,,,,,,,,
Newcastle upon Tyne Central,*,JM Cousins,Labour,21123,49.38%,66595,5288,64.23%,Labour Hold
,,MA Summersby,Conservative,15835,37.02%,,,,
,,Lembit Öpik,Liberal Democrat,5816,13.60%,,,,
,,,,,,,,,
Newcastle upon Tyne East,*,NH Brown,Labour,24342,60.20%,59973,13877,67.42%,Labour Hold
,,JR Lucas,Conservative,10465,25.88%,,,,
,,JA Thompson,Liberal Democrat,4883,12.08%,,,,
,,GLN Edwards,Green,744,1.84%,,,,
,,,,,,,,,
Newcastle upon Tyne North,*,DJ Henderson,Labour,25121,49.41%,57165,8946,88.93%,Labour Hold
,,I Gordon,Conservative,16175,31.82%,,,,
,,PJ Maughan,Liberal Democrat,9542,18.77%,,,,
,,,,,,,,,
Newcastle-under-Lyme,*,Mrs L Golding,Labour,25652,47.94%,66187,9839,80.84%,Labour Hold
,,AD Brierley,Conservative,15813,29.55%,,,,
,,AL Thomas,Liberal Democrat,11727,21.92%,,,,
,,RJM Lines,Natural Law,314,0.59%,,,,
,,,,,,,,,
Newham North East,*,R Leighton,Labour,20952,58.30%,59610,9986,60.29%,Labour Hold
,,JH Galbraith,Conservative,10966,30.51%,,,,
,,JJ Aves,Liberal Democrat,4020,11.19%,,,,
,,,,,,,,,
Newham North West,*,AL Banks,Labour,15911,61.11%,46475,9171,56.02%,Labour Hold
,,MM Prisk,Conservative,6740,25.89%,,,,
,,AJ Sawdon,Liberal Democrat,2445,9.39%,,,,
,,Miss AJ Standford,Green,587,2.25%,,,,
,,Toby Jug,Raving Loony Green Giant,252,0.97%,,,,
,,DA O'Sullivan,International Communist,100,0.38%,,,,
,,,,,,,,,
Newham South,*,NJ Spearing,Labour,14358,46.64%,51110,2502,60.23%,Labour Hold
,,Mrs JR Foster,Conservative,11856,38.51%,,,,
,,AJ Kellaway,Liberal Democrat,4572,14.85%,,,,
,,,,,,,,,
Newport East,*,RJ Hughes,Labour,23050,55.00%,51602,9899,81.21%,Labour Hold
,,Mrs AA Emmett,Conservative,13151,31.38%,,,,
,,WA Oliver,Liberal Democrat,4991,11.91%,,,,
,,SM Ainley,Plaid Cymru/Green,716,1.71%,,,,
,,,,,,,,,
Newport West,*,PP Flynn,Labour,24139,53.11%,54872,7779,82.83%,Labour Hold
,,AR Taylor,Conservative,16360,36.00%,,,,
,,JWA Toye,Liberal Democrat,4296,9.45%,,,,
,,PJ Keelan,Plaid Cymru/Green,653,1.44%,,,,
,,,,,,,,,
Newry and Armagh,*,SF Mallon,Social Democratic and Labour,26073,49.59%,67531,7091,77.85%,Social Democratic and Labour Hold
,,JA Speers,Ulster Unionist,18982,36.11%,,,,
,,BP Curran,Sinn Féin,6547,12.45%,,,,
,,Mrs HM Bell,Alliance,972,1.85%,,,,
,,,,,,,,,
Norfolk Mid,*,RA Ryder,Conservative,35620,54.31%,80525,18948,81.45%,Conservative Hold
,,MV Castle,Labour,16672,25.42%,,,,
,,MJ Gleed,Liberal Democrat,13072,19.93%,,,,
,,Mrs CR Waite,Natural Law,226,0.34%,,,,
,,,,,,,,,
Norfolk North,*,RF Howell,Conservative,28810,48.22%,73780,12445,80.99%,Conservative Hold
,,NP Lamb,Liberal Democrat,16365,27.39%,,,,
,,MA Cullingham,Labour,13850,23.18%,,,,
,,Ms. AC Zelter,Green,559,0.94%,,,,
,,Ms. SM Jenkinson,Natural Law,167,0.28%,,,,
,,,,,,,,,
Norfolk North West,*,HC Bellingham,Conservative,32554,52.11%,77439,11564,80.67%,Conservative Hold
,,G Turner,Labour,20990,33.60%,,,,
,,AM Waterman,Liberal Democrat,8599,13.76%,,,,
,,SRA Pink,Natural Law,330,0.53%,,,,
,,,,,,,,,
Norfolk South,*,JRR MacGregor,Conservative,36081,52.59%,81647,17565,84.04%,Conservative Hold
,,C Brocklebank-Fowler,Liberal Democrat,18516,26.99%,,,,
,,CJ Needle,Labour,12422,18.10%,,,,
,,Mrs S Ross-Wagenknecht,Green,702,1.02%,,,,
,,RW Peacock,Independent,340,0.50%,,,,
,,NH Clark,Natural Law,320,0.47%,,,,
,,RG Watkins,Independent Conservative,232,0.34%,,,,
,,,,,,,,,
Norfolk South West,*,Mrs GP Shephard,Conservative,33637,54.62%,77652,16931,79.30%,Conservative Hold
,,Ms. ME Page,Labour,16706,27.13%,,,,
,,JT Marsh,Liberal Democrat,11237,18.25%,,,,
,,,,,,,,,
Normanton,*,W O'Brien,Labour,25936,51.81%,65587,8950,76.32%,Labour Hold
,,RW Sturdy,Conservative,16986,33.93%,,,,
,,M Galdas,Liberal Democrat,7137,14.26%,,,,
,,,,,,,,,
Northampton North,*,AR Marlow,Conservative,24865,45.80%,69140,3908,78.52%,Conservative Hold
,,Mrs JM Thomas,Labour,20957,38.60%,,,,
,,RW Church,Liberal Democrat,8236,15.17%,,,,
,,B Spivack,Natural Law,232,0.43%,,,,
,,,,,,,,,
Northampton South,*,MWL Morris,Conservative,36882,55.29%,83476,16973,79.91%,Conservative Hold
,,J Dickie,Labour,19909,29.85%,,,,
,,GAG Mabbutt,Liberal Democrat,9912,14.86%,,,,
,,,,,,,,,
Northavon,*,Sir John A Cope,Conservative,35338,50.29%,83348,11861,84.31%,Conservative Hold
,,Mrs HR Larkins,Liberal Democrat,23477,33.41%,,,,
,,Mrs NPJ Norris,Labour,10290,14.64%,,,,
,,J Greene,Green,789,1.12%,,,,
,,PJR Marx,Liberal,380,0.54%,,,,
,,,,,,,,,
Norwich North,*,HP Thompson,Conservative,22419,43.28%,63309,266,81.83%,Conservative Hold
,,I Gibson,Labour,22153,42.76%,,,,
,,DG Harrison,Liberal Democrat,6706,12.94%,,,,
,,L Betts,Green,433,0.84%,,,,
,,RJ Arnold,Natural Law,93,0.18%,,,,
,,,,,,,,,
Norwich South,*,JL Garrett,Labour,24965,48.70%,63604,6181,80.60%,Labour Hold
,,DS Baxter,Conservative,18784,36.64%,,,,
,,C Thomas,Liberal Democrat,6609,12.89%,,,,
,,AStJ Holmes,Green,803,1.57%,,,,
,,BA Parsons,Natural Law,104,0.20%,,,,
,,,,,,,,,
Norwood,*,JD Fraser,Labour,18391,53.18%,52290,7216,66.13%,Labour Hold
,,JPE Samways,Conservative,11175,32.32%,,,,
,,Mrs SJ Lawman,Liberal Democrat,4087,11.82%,,,,
,,WSB Collins,Green,790,2.28%,,,,
,,MC Leighton,Natural Law,138,0.40%,,,,
,,,,,,,,,
Nottingham East,,J Heppell,Labour,25026,52.56%,67939,7680,70.08%,Labour Gain
,*,M Knowles,Conservative,17346,36.43%,,,,
,,TS Ball,Liberal Democrat,3695,7.76%,,,,
,,AG Jones,Green,667,1.40%,,,,
,,CW Roylance,Liberal,598,1.26%,,,,
,,J Ashford,Natural Law,283,0.59%,,,,
,,,,,,,,,
Nottingham North,*,GW Allen,Labour,29052,55.75%,69495,10743,74.99%,Labour Hold
,,IG Bridge,Conservative,18309,35.13%,,,,
,,A Skelton,Liberal Democrat,4477,8.59%,,,,
,,AC Codman,Natural Law,274,0.53%,,,,
,,,,,,,,,
Nottingham South,,AJ Simpson,Labour,25771,47.70%,72796,3181,74.22%,Labour Gain
,*,MM Brandon-Bravo,Conservative,22590,41.81%,,,,
,,GD Long,Liberal Democrat,5408,10.01%,,,,
,,Mrs J Christou,Natural Law,263,0.49%,,,,
,,,,,,,,,
Nuneaton,,WJ Olner,Labour,27157,45.75%,70907,1631,83.71%,Labour Gain
,*,LD Stevens,Conservative,25526,43.01%,,,,
,,Ms. PR Merritt,Liberal Democrat,6671,11.24%,,,,
,,,,,,,,,
Ogmore,*,R Powell,Labour,30186,71.73%,52196,23827,80.62%,Labour Hold
,,DG Edwards,Conservative,6359,15.11%,,,,
,,J Warman,Liberal Democrat,2868,6.82%,,,,
,,Miss LJ McAllister,Plaid Cymru,2667,6.34%,,,,
